	prefix	input_text	target_text
0	translate hindi to english	माइक पोंपियो , अमेरिकी विदेश मंत्री&nbsp	US Secretary of State, Mike Pompeo
1	translate english to hindi	US Secretary of State, Mike Pompeo	माइक पोंपियो , अमेरिकी विदेश मंत्री&nbsp
2	translate hindi to english	श्रीदेवी की मौत के वक्त उनके पति बोनी कपूर और बेटी खुशी उनके साथ थीं.	Sridevi was with her husband Boney Kapoor and daughter Khushi at the time of death.
3	translate english to hindi	Sridevi was with her husband Boney Kapoor and daughter Khushi at the time of death.	श्रीदेवी की मौत के वक्त उनके पति बोनी कपूर और बेटी खुशी उनके साथ थीं.
4	translate hindi to english	केंद्रीय राज्य मंत्री, पर्यटन और संस्कृति प्रहलाद सिंह पटेल से हुई आधिकारिक संवाद का हवाला देते हुए कहा कि यह प्रोजेक्ट न सिर्फ पर्यटकों को आकर्षित करेगा, बल्कि इलाके के लोगों की आय को भी बढ़ाने में मददगार होगा।	Referring to an official communication received by him from Union Minister of State, Tourism and Culture Prahlad Singh Patel said the project would not only attract tourists but will boost economy of the local populace.
5	translate english to hindi	Referring to an official communication received by him from Union Minister of State, Tourism and Culture Prahlad Singh Patel said the project would not only attract tourists but will boost economy of the local populace.	केंद्रीय राज्य मंत्री, पर्यटन और संस्कृति प्रहलाद सिंह पटेल से हुई आधिकारिक संवाद का हवाला देते हुए कहा कि यह प्रोजेक्ट न सिर्फ पर्यटकों को आकर्षित करेगा, बल्कि इलाके के लोगों की आय को भी बढ़ाने में मददगार होगा।
6	translate hindi to english	जिनमें पूर्व मुख्यमंत्री चौ.	The former CM said:
7	translate english to hindi	The former CM said:	जिनमें पूर्व मुख्यमंत्री चौ.
8	translate hindi to english	महुआ मोइत्रा के कृष्णानगर लोकसभा सीट से चुनाव जीतने के बाद करीमपुर सीट खाली हो गई थी।	Karimpur's seat fell vacant after sitting TMC MLA Mahua Moitra won the parliamentary polls from Krishnnanagar Lok Sabha seat.
9	translate english to hindi	Karimpur's seat fell vacant after sitting TMC MLA Mahua Moitra won the parliamentary polls from Krishnnanagar Lok Sabha seat.	महुआ मोइत्रा के कृष्णानगर लोकसभा सीट से चुनाव जीतने के बाद करीमपुर सीट खाली हो गई थी।
10	translate hindi to english	मैं, इस अवसर पर गत वर्ष अक्तूबर में नई दिल्ली में आयोजित तृतीय भारत अफ्रीका मंच सम्मेलन में आपकी सक्रिय भागीदारी और योगदान के लिए भारत की जनता की सराहना व्यक्त करता हूं।	I take this opportunity to convey the appreciation of the people of India for your active participation and contribution in the 3rd India-Africa Forum Summit held in New Delhi in October last year.
11	translate english to hindi	I take this opportunity to convey the appreciation of the people of India for your active participation and contribution in the 3rd India-Africa Forum Summit held in New Delhi in October last year.	मैं, इस अवसर पर गत वर्ष अक्तूबर में नई दिल्ली में आयोजित तृतीय भारत अफ्रीका मंच सम्मेलन में आपकी सक्रिय भागीदारी और योगदान के लिए भारत की जनता की सराहना व्यक्त करता हूं।
12	translate hindi to english	रजिस्टर के साथ विनिमय	Exchange with register
13	translate english to hindi	Exchange with register	रजिस्टर के साथ विनिमय
14	translate hindi to english	देश छोड़कर भागे शराब कारोबारी विजय माल्या को लंदन हाई कोर्ट से बड़ी राहत मिली है।	Embattled liquor tycoon Vijay Mallya leaves the high Court at the Royal Courts of Justice in London.
15	translate english to hindi	Embattled liquor tycoon Vijay Mallya leaves the high Court at the Royal Courts of Justice in London.	देश छोड़कर भागे शराब कारोबारी विजय माल्या को लंदन हाई कोर्ट से बड़ी राहत मिली है।
16	translate hindi to english	राष्ट्रीय बैडमिंटन चैंपियनशिप में दिखेगा पीवी सिंधु और साइना नेहवाल का जलवा	PV Sindhu, Saina Nehwal will be in action when Senior National Badminton begins in Guwahati
17	translate english to hindi	PV Sindhu, Saina Nehwal will be in action when Senior National Badminton begins in Guwahati	राष्ट्रीय बैडमिंटन चैंपियनशिप में दिखेगा पीवी सिंधु और साइना नेहवाल का जलवा
18	translate hindi to english	जांच में लगी एफबीआई	FBI to assist in probe
19	translate english to hindi	FBI to assist in probe	जांच में लगी एफबीआई
20	translate hindi to english	काजू में फैट भी कम होता है.	Barley is also low in fat.
21	translate english to hindi	Barley is also low in fat.	काजू में फैट भी कम होता है.
22	translate hindi to english	गौरतलब है कि\\xa024 मार्च को प्रधानमंत्री नरेंद्र मोदी द्वारा COVID-19 के प्रसार को रोकने के लिए प्रतिबंधों की घोषणा के बाद देश भर में लॉकडाउन लागू कर दिया गया था।	All domestic and international flights in India were suspended on March 24 after Prime Minister Narendra Modi announced a nationwide lockdown to contain the highly contagious coronavirus in the country.
23	translate english to hindi	All domestic and international flights in India were suspended on March 24 after Prime Minister Narendra Modi announced a nationwide lockdown to contain the highly contagious coronavirus in the country.	गौरतलब है कि\\xa024 मार्च को प्रधानमंत्री नरेंद्र मोदी द्वारा COVID-19 के प्रसार को रोकने के लिए प्रतिबंधों की घोषणा के बाद देश भर में लॉकडाउन लागू कर दिया गया था।
24	translate hindi to english	अयोध्या में कतिपय क्षेत्र अर्जन अधिनियम, 1993	The Acquisition of Certain Area at Ayodhya Act, 1993
25	translate english to hindi	The Acquisition of Certain Area at Ayodhya Act, 1993	अयोध्या में कतिपय क्षेत्र अर्जन अधिनियम, 1993
26	translate hindi to english	इससे बोर्ड के कर्मचारियों को आत्म-अभिव्यक्ति करने का अवसर उपलब्ध हुआ।	The magazine provided topics related to literature, poetry, religious issues, travel experiences.
27	translate english to hindi	The magazine provided topics related to literature, poetry, religious issues, travel experiences.	इससे बोर्ड के कर्मचारियों को आत्म-अभिव्यक्ति करने का अवसर उपलब्ध हुआ।
28	translate hindi to english	मोदी फूं केंगे चुनावी रणभेरी	Modis election bugle
29	translate english to hindi	Modis election bugle	मोदी फूं केंगे चुनावी रणभेरी
